"id","title","year","genres","rating","votes","isaction","isadventure","iscomedy","iscrime","isdocumentary","isdrama","ishorror","ismystery","isromance","isthriller"
"tt0062767","Buona Sera, Mrs. Campbell","1968","[Comedy, Romance]","6.8","1397","false","false","true","false","false","false","false","false","true","false"
"tt2353965","Frequency","2012","[Sci-Fi, Thriller]","5.8","17","false","false","false","false","false","false","false","false","false","true"
"tt2525156","Transylvanian Curse","2015","[Horror, Thriller]","3.3","412","false","false","false","false","false","false","true","false","false","true"
"tt8769848","The Tomorrow Man","2019","[Drama, Romance]","5.7","1274","false","false","false","false","false","true","false","false","true","false"
"tt1821426","Family Weekend","2013","[Comedy, Drama]","6.2","6596","false","false","true","false","false","true","false","false","false","false"
"tt3624446","Spanish Chainsaw Massacre","2017","[Comedy, Horror]","4.6","52","false","false","true","false","false","false","true","false","false","false"
"tt1349485","The Knife of Don Juan","2013","[Comedy, Drama]","7.1","35","false","false","true","false","false","true","false","false","false","false"
"tt1431045","Deadpool","2016","[Action, Adventure, Comedy]","8.0","887702","true","true","true","false","false","false","false","false","false","false"
"tt1541123","Astronaut: The Last Push","2012","[Drama, Sci-Fi]","5.3","1554","false","false","false","false","false","true","false","false","false","false"
"tt7930006","House of Deadly Secrets","2018","[Mystery]","5.0","499","false","false","false","false","false","false","false","true","false","false"
"tt8637428","The Farewell","2019","[Comedy, Drama]","7.6","46591","false","false","true","false","false","true","false","false","false","false"
"tt1258221","Interrogation of a Husband","2010","[Drama, Romance, Thriller]","6.8","22","false","false","false","false","false","true","false","false","true","true"
"tt3401392","The Devotion of Suspect X","2017","[Crime, Thriller]","6.2","737","false","false","false","true","false","false","false","false","false","true"
"tt4577624","Someone I Used to Know","2016","[Comedy, Drama, Romance]","8.1","21","false","false","true","false","false","true","false","false","true","false"
"tt0306188","Chances Are","2001","[Comedy, Romance]","8.5","37","false","false","true","false","false","false","false","false","true","false"
"tt0120631","Ever After: A Cinderella Story","1998","[Comedy, Drama, Romance]","7.0","68561","false","false","true","false","false","true","false","false","true","false"
"tt0179344","Tell Me No Lies","2001","[Drama, Thriller]","3.0","175","false","false","false","false","false","true","false","false","false","true"
"tt0028346","Reefer Madness","1936","[Crime, Drama]","3.8","7784","false","false","false","true","false","true","false","false","false","false"
"tt0067525","The Ωmega Man","1971","[Action, Drama, Sci-Fi]","6.5","28556","true","false","false","false","false","true","false","false","false","false"
"tt1876277","Into the White","2012","[Action, Biography, Drama]","7.2","19436","true","false","false","false","false","true","false","false","false","false"
"tt8972256","Greed","2019","[Comedy, Drama]","5.7","3818","false","false","true","false","false","true","false","false","false","false"
"tt0071402","Death Wish","1974","[Action, Crime, Drama]","7.0","35037","true","false","false","true","false","true","false","false","false","false"
"tt0080319","9 to 5","1980","[Comedy]","6.8","27048","false","false","true","false","false","false","false","false","false","false"
"tt0107688","The Nightmare Before Christmas","1993","[Animation, Family, Fantasy]","8.0","288750","false","false","false","false","false","false","false","false","false","false"
"tt0991174","Ingenious","2009","[Comedy, Drama, Romance]","5.8","1849","false","false","true","false","false","true","false","false","true","false"
"tt12443930","The Things We Say, the Things We Do","2020","[Drama]","6.9","238","false","false","false","false","false","true","false","false","false","false"
"tt6974888","Driven to Dance","2018","[Drama]","4.1","242","false","false","false","false","false","true","false","false","false","false"
"tt7225608","The Last Nazi","2019","[Drama]","4.0","33","false","false","false","false","false","true","false","false","false","false"
"tt1335992","Jackers","2010","[Action, Drama]","3.5","462","true","false","false","false","false","true","false","false","false","false"
"tt1386697","Suicide Squad","2016","[Action, Adventure, Fantasy]","6.0","590833","true","true","false","false","false","false","false","false","false","false"
"tt5329934","Forgotten in California","2016","[Documentary]","8.1","18","false","false","false","false","true","false","false","false","false","false"
"tt5562066","When Larry Meets Mary","2016","[Comedy, Romance]","4.8","93","false","false","true","false","false","false","false","false","true","false"
"tt5657846","Daddy's Home 2","2017","[Comedy]","6.0","60000","false","false","true","false","false","false","false","false","false","false"
"tt0297769","The Bounty Huntress","2001","[Action, Drama]","3.6","66","true","false","false","false","false","true","false","false","false","false"
"tt9806370","The Owners","2020","[Action, Horror, Thriller]","4.7","2889","true","false","false","false","false","false","true","false","false","true"
"tt3518012","Best of Enemies: Buckley vs. Vidal","2015","[Biography, Documentary, History]","7.6","5825","false","false","false","false","true","false","false","false","false","false"
"tt0192069","Gendernauts: A Journey Through Shifting Identities","1999","[Documentary]","5.8","141","false","false","false","false","true","false","false","false","false","false"
"tt0445601","Of Ashes and Atoms: The Story of the NASA Plum Brook Reactor Facility","2004","[Documentary]","8.9","10","false","false","false","false","true","false","false","false","false","false"
"tt12586452","Merman Academy: The Movie","2020","[Comedy, Family, Fantasy]","8.3","6","false","false","true","false","false","false","false","false","false","false"
"tt3405236","Raees","2017","[Action, Crime, Drama]","6.8","39580","true","false","false","true","false","true","false","false","false","false"
"tt4824256","Blackbear","2019","[Drama, Sport]","5.1","655","false","false","false","false","false","true","false","false","false","false"
"tt5061570","Hostile Border","2015","[Drama, Thriller]","5.4","532","false","false","false","false","false","true","false","false","false","true"
"tt5079452","Strangers at the Door","2017","[Action, Crime, Drama]","5.2","65","true","false","false","true","false","true","false","false","false","false"
"tt2103267","Adore","2013","[Drama, Romance]","6.2","31856","false","false","false","false","false","true","false","false","true","false"
"tt8772262","Midsommar","2019","[Drama, Horror, Mystery]","7.1","184083","false","false","false","false","false","true","true","true","false","false"
"tt1974419","The Neon Demon","2016","[Horror, Thriller]","6.2","82358","false","false","false","false","false","false","true","false","false","true"
"tt1987547","Deceptz","2011","[Drama]","5.5","11","false","false","false","false","false","true","false","false","false","false"
"tt3619972","Pull","2019","[Horror, Mystery, Thriller]","2.5","104","false","false","false","false","false","false","true","true","false","true"
"tt3861390","Dumbo","2019","[Adventure, Family, Fantasy]","6.3","63699","false","true","false","false","false","false","false","false","false","false"
"tt10003008","The Rental","2020","[Horror, Thriller]","5.7","11991","false","false","false","false","false","false","true","false","false","true"
"tt12036096","A Deadly Lullaby","2020","[Drama, Thriller]","5.7","143","false","false","false","false","false","true","false","false","false","true"
"tt7279188","Woman at War","2018","[Adventure, Comedy, Drama]","7.4","7513","false","true","true","false","false","true","false","false","false","false"
"tt0466460","Khosla's Nest","2006","[Comedy, Crime, Drama]","8.3","22008","false","false","true","true","false","true","false","false","false","false"
"tt1638277","Mars et Avril","2012","[Drama, Fantasy, Sci-Fi]","6.0","758","false","false","false","false","false","true","false","false","false","false"
"tt1274418","Fist of the Warrior","2007","[Action, Crime, Drama]","3.9","374","true","false","false","true","false","true","false","false","false","false"
"tt2652118","Crouching Tiger, Hidden Dragon: Sword of Destiny","2016","[Action, Adventure, Drama]","6.1","17487","true","true","false","false","false","true","false","false","false","false"
"tt3469284","Jurassic Prey","2015","[Action, Adventure, Comedy]","1.7","645","true","true","true","false","false","false","false","false","false","false"
"tt0265625","Roads to Riches","2002","[Comedy, Drama]","5.3","466","false","false","true","false","false","true","false","false","false","false"
"tt0103805","Beyond the Law","1993","[Crime, Drama, Thriller]","6.6","6140","false","false","false","true","false","true","false","false","false","true"
"tt0249555","Buster Keaton: The Great Stone Face","1968","[Documentary]","5.7","39","false","false","false","false","true","false","false","false","false","false"
"tt0018455","Sunrise","1927","[Drama, Romance]","8.1","46354","false","false","false","false","false","true","false","false","true","false"
"tt0020697","The Blue Angel","1930","[Drama, Music]","7.7","13424","false","false","false","false","false","true","false","false","false","false"
"tt0026725","Les Misérables","1935","[Drama, History, Romance]","7.7","3289","false","false","false","false","false","true","false","false","true","false"
"tt0044907","Les Miserables","1952","[Adventure, Drama, History]","6.8","956","false","true","false","false","false","true","false","false","false","false"
"tt0054215","Psycho","1960","[Horror, Mystery, Thriller]","8.5","592689","false","false","false","false","false","false","true","true","false","true"
"tt0089984","He-Man and She-Ra: The Secret of the Sword","1985","[Action, Adventure, Animation]","7.2","2377","true","true","false","false","false","false","false","false","false","false"
"tt0094721","Beetlejuice","1988","[Comedy, Fantasy]","7.5","256527","false","false","true","false","false","false","false","false","false","false"
"tt2510700","Palace of the Damned","2013","[Horror, Thriller]","6.7","63","false","false","false","false","false","false","true","false","false","true"
"tt0083146","Sweet Sixteen","1983","[Horror, Thriller]","5.2","1443","false","false","false","false","false","false","true","false","false","true"
"tt0084458","The Wizard of Oz","1982","[Adventure, Animation, Comedy]","6.8","347","false","true","true","false","false","false","false","false","false","false"
